Word,Count
the,276803
a,151186
and,135976
of,134447
to,133507
is,94891
in,79554
I,70138
that,64370
this,62108
it,54547
/><br,51998
was,50504
for,39843
with,39278
as,36555
movie,34412
The,34367
but,33940
on,30594
have,30017
are,28149
be,27390
not,27322
you,25767
film,25433
his,22657
at,22015
like,20363
they,20075
one,20034
an,19618
by,19584
just,19461
he,19341
from,18270
or,18225
so,17835
all,17549
who,17155
about,16619
out,15351
some,15146
has,14741
would,13407
her,13188
even,12979
no,12613
if,12496
only,12434
more,12063
This,11779
what,11627
had,11583
were,11483
good,11265
really,11184
up,11164
when,10991
it's,10625
very,10620
can,10370
there,10176
their,10172
It,10140
bad,10106
than,10004
which,9864
my,9856
been,9856
see,9670
get,9536
-,9019
because,9007
into,8889
she,8856
much,8797
could,8771
make,8730
any,8594
do,8381
don't,8288
me,7936
time,7605
people,7597
other,7593
how,7450
we,7344
will,7309
made,7294
/>The,7184
story,7112
most,6870
then,6838
first,6588
think,6556
too,6397
being,6289
its,6228
your,6202
<br,6143
never,6133
movie.,6054
And,5909
plot,5833
But,5808
did,5756
where,5699
watch,5688
them,5664
it.,5644
after,5643
know,5635
acting,5632
also,5594
him,5542
way,5481
ever,5450
movies,5437
little,5411
should,5407
characters,5391
two,5337
many,5274
off,5247
character,5206
better,5139
didn't,5078
does,5027
seen,5000
It's,4989
doesn't,4910
If,4895
over,4875
say,4798
something,4750
I'm,4725
these,4721
nothing,4655
watching,4636
actually,4578
such,4570
thing,4516
i,4474
"movie,",4466
There,4456
In,4451
go,4432
A,4427
show,4325
through,4324
film.,4319
scene,4301
going,4288
films,4181
why,4153
scenes,4136
worst,4135
&,4123
few,4078
great,4053
can't,3971
want,3967
those,3962
look,3934
pretty,3933
/>I,3920
still,3814
seems,3814
He,3772
same,3764
got,3674
"film,",3647
find,3642
well,3631
real,3594
actors,3589
back,3569
makes,3520
end,3519
least,3517
every,3459
give,3444
another,3436
isn't,3421
whole,3392
while,3382
lot,3361
love,3328
old,3317
around,3287
thought,3272
gets,3217
might,3201
before,3201
take,3193
I've,3163
best,3147
"it,",3118
horror,3091
enough,3083
They,3059
minutes,3040
director,3015
down,2990
part,2979
anything,2956
things,2942
quite,2942
guy,2937
almost,2914
without,2910
am,2877
trying,2836
that's,2835
original,2814
far,2811
script,2797
kind,2794
must,2772
big,2747
What,2744
looks,2738
man,2732
come,2726
fact,2691
probably,2681
wasn't,2663
here,2660
life,2646
saw,2638
work,2626
believe,2611
making,2609
point,2587
may,2585
between,2575
rather,2571
funny,2549
years,2492
though,2477
cast,2472
long,2466
feel,2454
put,2428
waste,2419
looking,2415
found,2414
main,2410
interesting,2407
done,2407
someone,2397
You,2393
he's,2346
bit,2334
As,2307
since,2301
new,2296
action,2293
there's,2283
poor,2279
comes,2279
reason,2277
goes,2272
last,2271
"""""The",2268
completely,2257
seem,2243
us,2229
supposed,2211
own,2211
hard,2195
anyone,2187
money,2164
having,2157
now,2154
watched,2148
young,2128
always,2096
idea,2084
right,2052
you're,2051
/>This,2051
left,2050
away,2047
sure,2044
simply,2037
worth,2024
TV,1995
couldn't,1991
both,1986
Not,1955
half,1932
stupid,1926
When,1924
time.,1921
effects,1897
So,1883
girl,1880
rest,1877
special,1860
woman,1859
She,1846
set,1845
read,1841
during,1816
played,1803
used,1802
our,1801
each,1798
2,1789
three,1783
try,1779
need,1778
takes,1774
For,1763
use,1745
times,1733
getting,1728
tell,1718
--,1715
seeing,1714
couple,1712
shot,1698
seemed,1686
terrible,1683
given,1682
everything,1682
music,1679
comedy,1675
said,1671
sense,1663
role,1659
less,1658
boring,1658
yet,1650
plays,1640
That,1638
entire,1637
.,1637
American,1634
else,1629
went,1604
doing,1601
instead,1587
Even,1584
high,1583
sort,1578
audience,1578
camera,1573
start,1572
piece,1568
awful,1567
absolutely,1565
ending,1561
book,1545
series,1542
felt,1541
One,1538
low,1535
everyone,1535
play,1534
wanted,1532
maybe,1525
understand,1522
let,1521
came,1515
"all,",1514
world,1510
totally,1510
All,1509
place,1506
help,1502
budget,1500
version,1494
shows,1491
actor,1489
worse,1487
until,1487
(and,1487
different,1472
tries,1462
family,1461
Why,1458
keep,1447
guess,1447
fun,1446
At,1437
mean,1431
especially,1431
fan,1426
We,1422
problem,1419
John,1418
this.,1408
"However,",1408
sex,1407
10,1399
next,1395
production,1394
bad.,1393
called,1389
playing,1387
decent,1387
once,1384
DVD,1381
video,1373
screen,1370
THE,1367
performance,1364
looked,1362
attempt,1362
again,1361
"is,",1360
second,1358
care,1357
nice,1355
kids,1345
"that,",1344
horrible,1341
name,1340
After,1339
full,1323
line,1321
truly,1320
one.,1320
My,1319
No,1318
I'd,1311
"bad,",1310
them.,1307
lack,1305
kill,1302
black,1302
"this,",1299
lines,1299
How,1296
either,1288
person,1286
To,1284
along,1282
they're,1278
dialogue,1272
recommend,1269
women,1267
save,1260
gave,1256
all.,1256
together,1253
himself,1248
Hollywood,1247
already,1243
wouldn't,1242
sound,1238
against,1225
starts,1224
enjoy,1223
,1216
year,1209
complete,1209
"time,",1208
lead,1207
turn,1205
becomes,1198
Then,1197
several,1195
head,1191
guys,1190
wife,1186
short,1184
wrong,1183
school,1182
early,1182
"acting,",1178
friends,1171
course,1169
There's,1169
obviously,1166
true,1163
3,1162
remember,1161
hour,1161
become,1159
small,1158
laugh,1152
title,1150
certainly,1148
written,1142
won't,1131
day,1128
mind,1124
under,1123
me.,1122
cannot,1122
took,1119
hope,1117
able,1116
wants,1111
wonder,1108
killed,1108
men,1102
job,1099
although,1098
writing,1095
poorly,1094
itself,1089
often,1088
she's,1076
liked,1073
Don't,1071
based,1069
face,1068
"Well,",1068
thinking,1066
obvious,1063
except,1063
cheap,1062
gives,1061
"me,",1058
/>If,1054
lost,1053
run,1052
case,1048
home,1039
you'll,1036
saying,1036
Just,1035
annoying,1034
extremely,1032
behind,1032
killer,1030
group,1030
top,1029
bunch,1029
running,1028
"movies,",1027
final,1027
expect,1025
dead,1023
(the,1022
later,1018
turns,1017
turned,1017
quality,1016
car,1012
Of,1012
His,1006
death,1003
"story,",1002
myself,1000
Some,1000
night,996
finally,988
female,988
/>In,988
heard,984
tried,982
"well,",980
call,980
started,979
act,975
movies.,974
stop,972
says,972
aren't,962
fight,961
story.,960
him.,959
exactly,956
stars,955
friend,953
ridiculous,948
I'll,948
happens,947
"good,",947
single,946
house,944
huge,943
/>It,937
seen.,935
moments,935
good.,934
human,933
it.<br,925
beginning,925
that.,923
opening,922
",",920
beyond,916
/>There,916
star,911
cut,910
across,906
That's,906
leave,904
feeling,903
Michael,903
Maybe,903
evil,902
taken,901
live,897
type,895
talking,893
direction,893
"plot,",891
kid,890
definitely,890
sit,887
involved,887
girls,885
usually,882
beautiful,881
While,881
mention,880
here.,879
episode,876
shots,870
silly,869
movie.<br,865
1,865
local,864
film's,863
crap,863
hours,862
perhaps,861
"fact,",860
directed,860
is.,859
stuff,858
throughout,852
close,850
father,849
knew,846
none,845
clearly,845
particularly,844
white,843
fans,841
falls,841
badly,840
classic,839
flick,836
kept,835
fails,835
Mr.,835
wasted,833
told,831
coming,831
decided,830
jokes,829
With,829
taking,827
New,826
basically,823
appears,823
5,822
serious,821
style,820
"however,",820
apparently,820
parts,819
wish,818
example,817
"end,",817
write,816
others,815
viewer,813
NOT,813
using,811
matter,809
funny.,809
despite,809
major,808
actual,808
on.,798
yourself,797
giving,796
mostly,793
hate,793
"course,",793
boy,792
lame,791
performances,789
"way,",787
shown,787
happened,787
/>And,785
somewhat,784
mother,784
ends,784
Now,784
dull,782
"films,",780
slow,778
themselves,777
number,776
total,775
rent,774
"one,",774
"characters,",772
spent,771
order,771
needs,770
gore,767
hell,763
picture,762
/>But,762
out.,760
near,760
life.,758
(I,758
known,757
killing,757
"again,",757
hit,753
due,751
dialog,750
whose,749
interest,749
past,748
late,747
five,744
well.,743
police,741
game,741
On,741
word,740
4,739
weak,738
soon,737
(which,737
unless,736
actress,736
plain,735
monster,734
blood,734
review,733
nearly,732
stay,730
premise,730
film.<br,730
upon,728
town,728
straight,728
bring,728
body,727
