Word,Count
the,291927
and,165943
a,155776
of,149178
to,128344
is,108171
in,90427
that,62450
I,62038
it,53397
this,51600
/><br,48976
as,46574
with,43292
was,42156
for,41075
The,32870
but,32342
his,31888
on,30607
film,28870
are,28365
movie,26396
you,24930
not,24819
have,23994
be,23151
he,22860
by,22707
an,21461
one,21312
at,20408
who,20052
from,19606
all,17727
has,17679
her,16758
like,15666
about,15417
very,15175
they,15126
so,14554
or,14005
more,13354
out,13333
some,12906
just,12875
This,12233
their,11803
when,11756
what,11691
It,11324
good,11321
which,10839
see,10700
my,10500
can,10493
great,10334
it's,10323
would,10171
really,10138
she,10124
up,10035
had,9722
will,9630
if,9510
story,9332
only,9260
-,9182
were,9069
than,9039
also,9015
most,8638
into,8626
its,8155
other,8152
much,8035
been,8027
even,8000
there,7990
we,7847
get,7797
time,7722
first,7696
because,7364
no,7338
how,7301
me,7245
well,7160
/>The,7151
him,6966
many,6902
people,6819
best,6757
love,6706
think,6529
do,6394
two,6153
make,6129
made,6125
being,6001
could,5919
<br,5881
never,5851
little,5795
don't,5665
where,5633
But,5627
way,5613
any,5606
after,5601
still,5591
seen,5559
it.,5438
does,5360
them,5243
films,5229
It's,5225
A,5187
And,5151
He,5122
character,5101
characters,5058
In,5028
know,5022
then,5012
watch,5009
too,4947
show,4770
your,4700
did,4695
movies,4686
makes,4624
those,4614
life,4590
i,4589
such,4564
movie.,4563
film.,4536
over,4519
"film,",4450
ever,4450
these,4407
find,4312
real,4123
through,4116
back,4078
quite,3991
man,3938
say,3919
go,3890
scene,3883
lot,3868
years,3851
should,3816
young,3771
If,3768
better,3736
off,3713
something,3711
between,3696
always,3671
same,3630
doesn't,3619
while,3603
both,3599
scenes,3578
acting,3552
own,3532
few,3530
may,3498
"movie,",3482
plot,3475
every,3467
/>I,3426
There,3418
old,3323
going,3271
saw,3256
end,3245
us,3238
part,3218
didn't,3203
look,3180
I'm,3150
watching,3123
before,3111
take,3105
another,3063
bit,3047
actually,3040
work,3035
new,3029
cast,3027
must,3013
want,2986
got,2956
things,2953
seems,2949
actors,2943
each,2942
&,2940
without,2915
"it,",2912
thought,2879
give,2860
almost,2859
though,2850
I've,2818
feel,2812
gets,2807
pretty,2785
come,2751
As,2748
bad,2745
performance,2744
around,2735
our,2732
can't,2728
music,2682
role,2660
played,2655
down,2639
"""""The",2603
big,2592
here,2588
last,2581
series,2580
why,2570
found,2567
She,2558
shows,2557
world,2547
different,2540
now,2532
plays,2521
They,2520
long,2516
especially,2512
funny,2496
family,2481
am,2476
thing,2437
probably,2436
since,2432
isn't,2430
right,2409
excellent,2400
might,2380
whole,2371
comes,2349
takes,2345
rather,2332
/>This,2318
fact,2296
director,2296
enough,2294
horror,2293
beautiful,2282
action,2272
You,2268
worth,2259
done,2242
kind,2216
far,2216
interesting,2212
When,2198
true,2187
fun,2180
comedy,2176
TV,2153
yet,2140
John,2117
times,2085
American,2077
watched,2070
job,2063
wonderful,2056
goes,2056
main,2053
original,2051
he's,2051
put,2042
having,2037
during,2036
play,2022
again,2001
that's,1984
recommend,1983
gives,1974
making,1973
three,1969
loved,1967
set,1962
nothing,1954
hard,1954
anyone,1946
DVD,1929
One,1913
time.,1905
seem,1905
truly,1891
woman,1880
believe,1871
trying,1868
away,1844
What,1840
least,1829
seeing,1822
definitely,1814
point,1796
looking,1793
sure,1785
enjoy,1766
until,1762
nice,1758
used,1753
perfect,1741
anything,1728
liked,1727
once,1711
help,1708
everything,1705
place,1692
human,1690
girl,1689
become,1689
For,1679
version,1677
left,1675
himself,1672
We,1669
performances,1668
came,1663
favorite,1650
--,1643
enjoyed,1639
sense,1634
My,1633
small,1621
early,1620
often,1605
use,1601
keep,1595
along,1594
His,1594
ending,1586
later,1585
remember,1582
classic,1582
need,1576
special,1572
second,1562
wasn't,1554
short,1553
everyone,1548
certainly,1537
together,1534
full,1532
simply,1510
fan,1509
playing,1504
wife,1501
high,1497
looks,1496
given,1489
read,1484
All,1479
guy,1477
actor,1468
Not,1468
day,1465
"time,",1458
Hollywood,1455
you're,1453
someone,1450
So,1444
understand,1442
several,1440
against,1437
live,1436
able,1435
screen,1430
less,1427
although,1420
getting,1413
THE,1413
becomes,1410
well.,1405
there's,1391
"However,",1386
audience,1385
couple,1375
(and,1374
year,1371
That,1369
men,1368
father,1366
top,1356
course,1349
said,1347
try,1343
tell,1343
shot,1339
fine,1335
amazing,1335
home,1332
war,1325
completely,1322
highly,1320
"is,",1317
"all,",1305
New,1305
After,1303
went,1302
"story,",1297
hope,1293
While,1292
final,1289
next,1288
script,1285
moments,1280
wants,1278
black,1277
based,1277
10,1269
rest,1267
works,1264
let,1264
him.,1263
episode,1260
,1257
idea,1252
start,1249
brilliant,1243
friends,1239
mind,1236
felt,1225
lives,1217
kids,1214
At,1213
absolutely,1197
strong,1195
turns,1193
book,1193
reason,1192
(the,1190
entire,1187
Michael,1176
won't,1175
production,1173
finally,1167
life.,1164
them.,1161
doing,1160
Of,1157
entertaining,1150
effects,1148
death,1145
you'll,1142
style,1142
maybe,1142
late,1137
under,1134
To,1131
gave,1121
sort,1119
person,1115
turn,1112
women,1108
Mr.,1108
story.,1107
others,1106
"that,",1104
minutes,1089
called,1089
beginning,1088
With,1087
half,1085
mother,1084
took,1082
Even,1082
finds,1081
totally,1078
lead,1078
James,1076
already,1074
film's,1073
school,1071
line,1070
perhaps,1067
friend,1067
face,1066
sometimes,1064
lost,1063
David,1063
Some,1061
night,1060
good.,1060
piece,1057
whose,1051
tells,1049
"course,",1049
behind,1046
shown,1038
relationship,1029
"me,",1028
Robert,1026
wanted,1025
written,1023
supporting,1022
heard,1017
greatest,1013
known,1011
fans,1009
I'd,1008
sound,1006
feeling,1006
told,1004
taken,1004
dark,1004
stars,1003
particularly,1003
"films,",1003
name,1001
including,1001
extremely,1001
itself,1000
camera,997
viewer,995
simple,995
drama,993
throughout,988
heart,987
picture,985
.,985
seemed,984
video,982
2,980
game,979
else,979
"good,",977
one.,975
past,972
side,971
boy,971
star,970
important,968
musical,967
"well,",965
/>It,964
starts,960
directed,960
"however,",958
